Date,Temperature,Humidity,Precipitation
2024-01-01,25,65,2
2024-01-02,26,60,0
2024-01-03,24,62,1
2024-01-04,23,64,0
2024-01-05,27,58,0
2024-01-06,28,55,3
2024-01-07,29,57,5
2024-01-08,30,59,0
2024-01-09,31,61,0
2024-01-10,29,63,1
2024-01-11,28,65,2
2024-01-12,27,67,4
2024-01-13,26,66,0
2024-01-14,25,64,0
2024-01-15,24,62,1
2024-01-16,23,60,0
2024-01-17,22,59,2
2024-01-18,24,61,3
2024-01-19,26,63,0
2024-01-20,27,65,1
2024-01-21,28,66,0
2024-01-22,29,68,2
2024-01-23,30,70,4
2024-01-24,31,72,5
2024-01-25,32,74,3
2024-01-26,30,71,1
2024-01-27,29,69,0
2024-01-28,28,67,0
2024-01-29,27,65,2
2024-01-30,26,64,1
